"PERIODO","MES","BARRIO","GRAVEDAD","CONTEO"
2014,1,"La Libertad","Herido",5
2014,1,"La Libertad","Solo danos",1
2014,1,"La Loma de Los Bernal","Herido",5
2014,1,"La Loma de Los Bernal","Solo danos",1
2014,1,"La Mansion","Herido",1
2014,1,"La Mansion","Solo danos",1
2014,1,"La Milagrosa","Herido",4
2014,1,"La Milagrosa","Solo danos",1
2014,1,"La Mota","Herido",4
2014,1,"La Mota","Solo danos",1
2014,1,"La Palma","Herido",3
2014,1,"La Palma","Solo danos",3
2014,1,"La Pilarica","Herido",3
2014,1,"La Pilarica","Solo danos",2
2014,1,"La Pinuela","Herido",3
2014,1,"La Pradera","Herido",3
2014,1,"La Pradera","Solo danos",2
2014,1,"La Rosa","Herido",5
2014,1,"La Rosa","Solo danos",1
2014,1,"La Salle","Herido",9
2014,1,"La Salle","Solo danos",1
2014,1,"Lalinde","Solo danos",1
2014,1,"Las Acacias","Herido",14
2014,1,"Las Acacias","Solo danos",14
2014,1,"Las Brisas","Herido",11
2014,1,"Las Brisas","Solo danos",2
2014,1,"Las Esmeraldas","Herido",4
2014,1,"Las Esmeraldas","Solo danos",2
2014,1,"Las Estancias","Herido",3
2014,1,"Las Granjas","Herido",11
2014,1,"Las Granjas","Solo danos",1
2014,1,"Las Independencias","Herido",2
2014,1,"Las Independencias","Solo danos",1
2014,1,"Las Lomas Nº 1","Herido",4
2014,1,"Las Lomas Nº 1","Solo danos",4
2014,1,"Las Lomas Nº 2","Solo danos",2
2014,1,"Las Mercedes","Herido",6
2014,1,"Las Mercedes","Solo danos",1
2014,1,"Las Palmas","Herido",6
2014,1,"Las Palmas","Solo danos",6
2014,1,"Las Playas","Herido",4
2014,1,"Las Playas","Solo danos",1
2014,1,"Las Violetas","Herido",4
2014,1,"Las Violetas","Solo danos",3
2014,1,"Laureles","Herido",3
2014,1,"Laureles","Muerto",1
2014,1,"Laureles","Solo danos",11
2014,1,"Llanaditas","Herido",2
2014,1,"Lopez de Mesa","Herido",11
2014,1,"Lopez de Mesa","Solo danos",2
2014,1,"Lorena","Herido",2
2014,1,"Lorena","Solo danos",9
2014,1,"Loreto","Herido",8
2014,1,"Loreto","Solo danos",2
2014,1,"Los Alcazares","Herido",5
2014,1,"Los Alcazares","Solo danos",3
2014,1,"Los Alpes","Herido",4
2014,1,"Los Alpes","Solo danos",1
2014,1,"Los angeles","Herido",9
2014,1,"Los angeles","Solo danos",5
2014,1,"Los Balsos Nº 1","Solo danos",6
2014,1,"Los Balsos Nº 2","Herido",1
2014,1,"Los Balsos Nº 2","Solo danos",8
2014,1,"Los Cerros - El Vergel","Herido",2
2014,1,"Los Colores","Herido",11
2014,1,"Los Colores","Solo danos",8
2014,1,"Los Conquistadores","Herido",25
2014,1,"Los Conquistadores","Muerto",1
2014,1,"Los Conquistadores","Solo danos",35
2014,1,"Los Mangos","Herido",7
2014,1,"Los Mangos","Solo danos",3
2014,1,"Los Naranjos","Herido",4
2014,1,"Los Naranjos","Solo danos",2
2014,1,"Los Pinos","Herido",6
2014,1,"Los Pinos","Solo danos",10
2014,1,"Manila","Herido",6
2014,1,"Manila","Solo danos",20
2014,1,"Manrique","Herido",12
2014,1,"Manrique","Solo danos",3
2014,1,"Manrique Central Nº 1","Herido",16
2014,1,"Manrique Central Nº 1","Muerto",2
2014,1,"Manrique Central Nº 1","Solo danos",5
2014,1,"Manrique Central Nº 2","Herido",8
2014,1,"Manrique Central Nº 2","Muerto",1
2014,1,"Manrique Central Nº 2","Solo danos",4
2014,1,"Mirador del Doce","Herido",1
2014,1,"Miraflores","Herido",9
2014,1,"Miraflores","Solo danos",3
2014,1,"Miranda","Herido",9
