"BARRIO","PERIODO","TOTAL"
"La Francia",2014,60
"La Francia",2015,54
"La Francia",2016,46
"La Francia",2017,51
"La Francia",2018,46
"La Francia",2019,25
"La Frontera",2014,65
"La Frontera",2015,46
"La Frontera",2016,42
"La Frontera",2017,40
"La Frontera",2018,39
"La Frontera",2019,16
"La Gloria",2014,156
"La Gloria",2015,186
"La Gloria",2016,223
"La Gloria",2017,218
"La Gloria",2018,170
"La Gloria",2019,72
"La Hondonada",2014,26
"La Hondonada",2015,26
"La Hondonada",2016,31
"La Hondonada",2017,46
"La Hondonada",2018,47
"La Hondonada",2019,13
"La Isla",2014,45
"La Isla",2015,42
"La Isla",2016,43
"La Isla",2017,25
"La Isla",2018,38
"La Isla",2019,15
"La Ladera",2014,15
"La Ladera",2015,14
"La Ladera",2016,18
"La Ladera",2017,16
"La Ladera",2018,18
"La Ladera",2019,2
"La Libertad",2014,71
"La Libertad",2015,75
"La Libertad",2016,60
"La Libertad",2017,52
"La Libertad",2018,62
"La Libertad",2019,27
"La Loma de Los Bernal",2014,82
"La Loma de Los Bernal",2015,77
"La Loma de Los Bernal",2016,104
"La Loma de Los Bernal",2017,93
"La Loma de Los Bernal",2018,69
"La Loma de Los Bernal",2019,29
"La Loma Oriental",2014,1
"La Loma Oriental",2015,5
"La Loma Oriental",2016,4
"La Loma Oriental",2017,4
"La Loma Oriental",2018,11
"La Loma Oriental",2019,3
"La Mansion",2014,50
"La Mansion",2015,54
"La Mansion",2016,64
"La Mansion",2017,66
"La Mansion",2018,53
"La Mansion",2019,30
"La Milagrosa",2014,105
"La Milagrosa",2015,93
"La Milagrosa",2016,104
"La Milagrosa",2017,99
"La Milagrosa",2018,94
"La Milagrosa",2019,54
"La Mota",2014,65
"La Mota",2015,76
"La Mota",2016,89
"La Mota",2017,92
"La Mota",2018,62
"La Mota",2019,37
"La Oculta",2014,2
"La Oculta",2015,1
"La Oculta",2016,1
"La Oculta",2017,5
"La Oculta",2018,4
"La Oculta",2019,7
"La Palma",2014,140
"La Palma",2015,130
"La Palma",2016,153
"La Palma",2017,109
"La Palma",2018,98
"La Palma",2019,44
"La Pilarica",2014,90
"La Pilarica",2015,90
"La Pilarica",2016,73
"La Pilarica",2017,96
"La Pilarica",2018,119
"La Pilarica",2019,54
"La Pinuela",2014,56
"La Pinuela",2015,85
"La Pinuela",2016,66
"La Pinuela",2017,61
"La Pinuela",2018,66
"La Pinuela",2019,29
"La Pradera",2014,87
"La Pradera",2015,70
"La Pradera",2016,97
"La Pradera",2017,78
"La Pradera",2018,57
"La Pradera",2019,24
"La Rosa",2014,50
"La Rosa",2015,49
"La Rosa",2016,45
"La Rosa",2017,35
"La Rosa",2018,53
"La Rosa",2019,26
"La Salle",2014,108
"La Salle",2015,119
"La Salle",2016,123
"La Salle",2017,106
"La Salle",2018,103
"La Salle",2019,44
"La Sierra",2014,3
"La Sierra",2015,1
"La Sierra",2016,6
"La Sierra",2017,3
"La Sierra",2018,4
"La Verde ",2014,3
"La Verde ",2015,3
"La Verde ",2016,2
"La Verde ",2017,17
"La Verde ",2018,16
"La Verde ",2019,6
"Lalinde",2014,25
"Lalinde",2015,26
"Lalinde",2016,32
"Lalinde",2017,41
"Lalinde",2018,26
"Lalinde",2019,13
"Las Acacias",2014,326
"Las Acacias",2015,313
"Las Acacias",2016,336
"Las Acacias",2017,287
"Las Acacias",2018,269
"Las Acacias",2019,111
"Las Brisas",2014,200
"Las Brisas",2015,189
"Las Brisas",2016,215
"Las Brisas",2017,211
"Las Brisas",2018,180
"Las Brisas",2019,93
"Las Esmeraldas",2014,109
"Las Esmeraldas",2015,107
"Las Esmeraldas",2016,91
"Las Esmeraldas",2017,42
"Las Esmeraldas",2018,41
"Las Esmeraldas",2019,15
"Las Estancias",2014,52
"Las Estancias",2015,53
"Las Estancias",2016,55
"Las Estancias",2017,49
"Las Estancias",2018,48
"Las Estancias",2019,26
"Las Granjas",2014,257
"Las Granjas",2015,229
"Las Granjas",2016,258
"Las Granjas",2017,192
"Las Granjas",2018,179
"Las Granjas",2019,92
"Las Independencias",2014,20
"Las Independencias",2015,18
"Las Independencias",2016,15
"Las Independencias",2017,8
"Las Independencias",2018,11
"Las Independencias",2019,5
"Las Lomas Nº 1",2014,111
"Las Lomas Nº 1",2015,113
"Las Lomas Nº 1",2016,99
"Las Lomas Nº 1",2017,101
"Las Lomas Nº 1",2018,119
"Las Lomas Nº 1",2019,56
"Las Lomas Nº 2",2014,70
"Las Lomas Nº 2",2015,46
"Las Lomas Nº 2",2016,55
"Las Lomas Nº 2",2017,56
"Las Lomas Nº 2",2018,64
"Las Lomas Nº 2",2019,40
"Las Mercedes",2014,66
"Las Mercedes",2015,57
"Las Mercedes",2016,86
"Las Mercedes",2017,73
"Las Mercedes",2018,66
"Las Mercedes",2019,23
"Las Palmas",2014,108
"Las Palmas",2015,118
"Las Palmas",2016,119
"Las Palmas",2017,121
"Las Palmas",2018,124
"Las Palmas",2019,52
"Las Playas",2014,99
"Las Playas",2015,110
"Las Playas",2016,133
"Las Playas",2017,116
"Las Playas",2018,92
"Las Playas",2019,40
"Las Violetas",2014,93
"Las Violetas",2015,71
"Las Violetas",2016,80
"Las Violetas",2017,70
"Las Violetas",2018,63
"Las Violetas",2019,26
"Laureles",2014,288
"Laureles",2015,347
"Laureles",2016,357
