"PERIODO","MES","BARRIO","TOTAL"
2014,2,"Calasanz Parte Alta",7
2014,2,"Calle Nueva",26
2014,2,"Campo Alegre",13
2014,2,"Campo Amor",63
2014,2,"Campo Valdes Nº 1",20
2014,2,"Campo Valdes Nº 2",17
2014,2,"Caribe",69
2014,2,"Carlos E. Restrepo",50
2014,2,"Carpinelo",2
2014,2,"Castilla",81
2014,2,"Castropol",11
2014,2,"Cataluna",4
2014,2,"Cerro Nutibara",9
2014,2,"Corazon de Jesus",41
2014,2,"Cordoba",9
2014,2,"Cristo Rey",26
2014,2,"Cuarta Brigada",17
2014,2,"Cucaracho",16
2014,2,"Diego Echavarria",8
2014,2,"Doce de Octubre Nº 1",10
2014,2,"Doce de Octubre Nº 2",12
2014,2,"Eduardo Santos",1
2014,2,"El Castillo",7
2014,2,"El Chagualo",22
2014,2,"El Compromiso",2
2014,2,"El Corazon",2
2014,2,"El Danubio",8
2014,2,"El Diamante",16
2014,2,"El Diamante Nº 2",3
2014,2,"El Nogal - Los Almendros",7
2014,2,"El Pinal",13
2014,2,"El Playon de Los Comuneros",7
2014,2,"El Poblado",26
2014,2,"El Pomar",4
2014,2,"El Progreso",32
2014,2,"El Raizal",5
2014,2,"El Rincon",10
2014,2,"El Rodeo",2
2014,2,"El Salado",3
2014,2,"El Salvador",10
2014,2,"El Socorro",2
2014,2,"El Tesoro",14
2014,2,"El Triunfo",1
2014,2,"El Velodromo",15
2014,2,"El Volador",5
2014,2,"Enciso",12
2014,2,"Estacion Villa",25
2014,2,"Estadio",32
2014,2,"Fatima",23
2014,2,"Ferrini",4
2014,2,"Florencia",6
2014,2,"Florida Nueva",12
2014,2,"Francisco Antonio Zea",4
2014,2,"Gerona",10
2014,2,"Girardot",20
2014,2,"Granada",12
2014,2,"Granizal",7
2014,2,"Guayabal",39
2014,2,"Guayaquil",65
2014,2,"Hector Abad Gomez",11
2014,2,"Inst",4
2014,2,"Jesus Nazareno",31
2014,2,"Juan Pablo II",1
2014,2,"Juan XXIII",4
2014,2,"Kennedy",22
2014,2,"La Aguacatala",31
2014,2,"La America",20
2014,2,"La Avanzada",1
2014,2,"La Candelaria",95
2014,2,"La Castellana",16
2014,2,"La Colina",4
2014,2,"La Esperanza",10
2014,2,"La Esperanza Nº 2",2
2014,2,"La Floresta",15
2014,2,"La Florida",12
2014,2,"La Francia",4
2014,2,"La Frontera",5
2014,2,"La Gloria",12
2014,2,"La Isla",3
2014,2,"La Ladera",1
2014,2,"La Libertad",7
2014,2,"La Loma de Los Bernal",9
2014,2,"La Mansion",2
2014,2,"La Milagrosa",5
2014,2,"La Mota",5
2014,2,"La Palma",14
2014,2,"La Pilarica",9
2014,2,"La Pinuela",6
2014,2,"La Pradera",7
2014,2,"La Rosa",3
2014,2,"La Salle",7
2014,2,"Las Acacias",27
2014,2,"Las Brisas",15
2014,2,"Las Esmeraldas",8
2014,2,"Las Estancias",5
2014,2,"Las Granjas",17
2014,2,"Las Lomas Nº 1",8
2014,2,"Las Lomas Nº 2",10
2014,2,"Las Mercedes",5
2014,2,"Las Palmas",9
2014,2,"Las Playas",4
2014,2,"Las Violetas",5
2014,2,"Laureles",18
2014,2,"Lopez de Mesa",16
2014,2,"Lorena",18
2014,2,"Loreto",12
2014,2,"Los Alcazares",13
2014,2,"Los Alpes",11
2014,2,"Los angeles",16
2014,2,"Los Balsos Nº 1",3
2014,2,"Los Balsos Nº 2",8
2014,2,"Los Cerros - El Vergel",6
2014,2,"Los Colores",25
2014,2,"Los Conquistadores",69
2014,2,"Los Mangos",6
2014,2,"Los Naranjos",5
2014,2,"Los Pinos",17
2014,2,"Manila",21
2014,2,"Manrique",17
2014,2,"Manrique Central Nº 1",23
2014,2,"Manrique Central Nº 2",7
2014,2,"Mirador del Doce",2
2014,2,"Miraflores",15
2014,2,"Miranda",11
2014,2,"Monteclaro",1
2014,2,"Moravia",24
2014,2,"Moscu Nº 1",5
2014,2,"Moscu Nº 2",5
2014,2,"Naranjal",46
2014,2,"Nueva Villa de Aburra",3
2014,2,"Nuevos Conquistadores",5
2014,2,"Ocho de Marzo",1
2014,2,"Olaya Herrera",1
2014,2,"Oriente",3
2014,2,"Pablo VI",2
2014,2,"Pajarito",2
2014,2,"Palenque",7
2014,2,"Palermo",4
2014,2,"Patio Bonito",15
2014,2,"Pedregal",14
2014,2,"Pedregal Bajo",3
2014,2,"Perpetuo Socorro",61
2014,2,"Picacho",10
2014,2,"Piedras Blancas",1
2014,2,"Popular",8
2014,2,"Prado",42
2014,2,"Robledo",59
2014,2,"Rosales",21
2014,2,"San Benito",56
2014,2,"San Bernardo",13
2014,2,"San Diego",46
2014,2,"San German",5
2014,2,"San Isidro",15
2014,2,"San Javier Nº 1",9
2014,2,"San Javier Nº 2",7
2014,2,"San Joaquin",14
2014,2,"San Jose La Cima Nº 2",1
2014,2,"San Lucas",2
2014,2,"San Martin de Porres",7
2014,2,"San Miguel",19
2014,2,"San Pablo",4
2014,2,"San Pedro",23
2014,2,"Santa Cruz",6
2014,2,"Santa Fe",41
2014,2,"Santa Ines",16
2014,2,"Santa Lucia",5
2014,2,"Santa Margarita",1
2014,2,"Santa Maria de los angeles",10
2014,2,"Santa Monica",7
2014,2,"Santa Rosa de Lima",2
2014,2,"Santa Teresita",4
2014,2,"Santander",9
2014,2,"Santo Domingo Savio Nº 1",9
2014,2,"Santo Domingo Savio Nº 2",5
2014,2,"Sevilla",21
2014,2,"Simon Bolivar",4
2014,2,"Suburbano Altavista",2
2014,2,"Suburbano El Plan",14
2014,2,"Suburbano el Tesoro",2
2014,2,"Suburbano La Loma",4
2014,2,"Suburbano Mirador del Poblado",1
2014,2,"Suburbano Travesias",1
2014,2,"Sucre",16
2014,2,"Suramericana",26
2014,2,"Tejelo",7
2014,2,"Tenche",11
2014,2,"Toscana",11
2014,2,"Trece de Noviembre",1
2014,2,"Tricentenario",12
2014,2,"Trinidad",24
2014,2,"Veinte de Julio",6
2014,2,"Versalles Nº 1",9
2014,2,"Versalles Nº 2",2
2014,2,"Villa Carlota",28
2014,2,"Villa de La Iguana",3
2014,2,"Villa del Socorro",4
2014,2,"Villa Flora",20
2014,2,"Villa Guadalupe",1
2014,2,"Villa Hermosa",7
2014,2,"Villa Lilliam",1
2014,2,"Villa Niza",6
2014,2,"Villa Nueva",37
2014,2,"Villa Turbay",1
2014,2,"Villatina",8
2014,2,"Zona rural",6
2014,3,"",3
2014,3,"Aguas Frias",2
2014,3,"Aldea Pablo VI",2
2014,3,"Alejandria",3
2014,3,"Alejandro Echavarria",16
2014,3,"Alfonso Lopez",27
2014,3,"Altamira",20
2014,3,"Altavista",12
2014,3,"Altavista Sector Central",3
2014,3,"Altos del Poblado",2
2014,3,"Andalucia",5
2014,3,"Antonio Narino",4
2014,3,"Aranjuez",38
2014,3,"area de Expansion Altos de Calasanz",3
2014,3,"area de Expansion Pajarito",22
2014,3,"Asomadera Nº 1",4
2014,3,"Asomadera Nº 2",9
2014,3,"Asomadera Nº 3",3
2014,3,"Astorga",11
2014,3,"AUC2",1
2014,3,"Aures Nº 1",7
2014,3,"Aures Nº 2",10
2014,3,"Barrio Colombia",22
2014,3,"Barrio Colon",68
2014,3,"Barrios de Jesus",5
2014,3,"Belalcazar",12
2014,3,"Belen",42
2014,3,"Belencito",1
2014,3,"Bello Horizonte",6
2014,3,"Berlin",17
2014,3,"Bermejal - Los alamos",8
2014,3,"Betania",1
2014,3,"Blanquizal",1
2014,3,"Bolivariana",26
2014,3,"Bombona Nº 1",26
2014,3,"Bombona Nº 2",5
2014,3,"Bosques de San Pablo",8
2014,3,"Boston",37
2014,3,"Boyaca",9
2014,3,"Brasilia",10
2014,3,"Buenos Aires",25
2014,3,"Cabecera San Antonio de Prado",17
2014,3,"Cabecera Urbana San Cristobal",11
2014,3,"Caicedo",17
2014,3,"Calasanz",24
2014,3,"Calasanz Parte Alta",4
2014,3,"Calle Nueva",26
2014,3,"Campo Alegre",10
2014,3,"Campo Amor",95
2014,3,"Campo Valdes Nº 1",23
2014,3,"Campo Valdes Nº 2",18
2014,3,"Caribe",91
2014,3,"Carlos E. Restrepo",57
2014,3,"Carpinelo",2
2014,3,"Castilla",101
2014,3,"Castropol",10
2014,3,"Cataluna",8
2014,3,"Cerro Nutibara",15
2014,3,"Corazon de Jesus",32
2014,3,"Cordoba",9
2014,3,"Cristo Rey",35
2014,3,"Cuarta Brigada",26
2014,3,"Cucaracho",22
2014,3,"Diego Echavarria",8
2014,3,"Doce de Octubre Nº 1",12
2014,3,"Doce de Octubre Nº 2",11
2014,3,"Eduardo Santos",1
2014,3,"El Castillo",6
2014,3,"El Chagualo",39
2014,3,"El Compromiso",4
2014,3,"El Corazon",3
2014,3,"El Corazon El Morro ",1
2014,3,"El Danubio",6
2014,3,"El Diamante",26
2014,3,"El Diamante Nº 2",5
2014,3,"El Nogal - Los Almendros",12
2014,3,"El Pesebre",1
2014,3,"El Pinal",10
2014,3,"El Playon de Los Comuneros",3
2014,3,"El Poblado",21
2014,3,"El Pomar",6
2014,3,"El Progreso",43
2014,3,"El Progreso Nº 2",2
2014,3,"El Raizal",9
2014,3,"El Rincon",15
2014,3,"El Rodeo",3
2014,3,"El Salado",5
2014,3,"El Salvador",15
2014,3,"El Socorro",1
2014,3,"El Tesoro",14
