"","N_FECHAS","N_DIA_SEMANA","N_DIA_LABORAL"
"769",2016-02-08,"lunes","Laboral"
"770",2016-02-09,"martes","Laboral"
"771",2016-02-10,"miércoles","Laboral"
"772",2016-02-11,"jueves","Laboral"
"773",2016-02-12,"viernes","Laboral"
"774",2016-02-13,"sábado","Fin de semana"
"775",2016-02-14,"domingo","Fin de semana"
"776",2016-02-15,"lunes","Laboral"
"777",2016-02-16,"martes","Laboral"
"778",2016-02-17,"miércoles","Laboral"
"779",2016-02-18,"jueves","Laboral"
"780",2016-02-19,"viernes","Laboral"
"781",2016-02-20,"sábado","Fin de semana"
"782",2016-02-21,"domingo","Fin de semana"
"783",2016-02-22,"lunes","Laboral"
"784",2016-02-23,"martes","Laboral"
"785",2016-02-24,"miércoles","Laboral"
"786",2016-02-25,"jueves","Laboral"
"787",2016-02-26,"viernes","Laboral"
"788",2016-02-27,"sábado","Fin de semana"
"789",2016-02-28,"domingo","Fin de semana"
"790",2016-02-29,"lunes","Laboral"
"791",2016-03-01,"martes","Laboral"
"792",2016-03-02,"miércoles","Laboral"
"793",2016-03-03,"jueves","Laboral"
"794",2016-03-04,"viernes","Laboral"
"795",2016-03-05,"sábado","Fin de semana"
"796",2016-03-06,"domingo","Fin de semana"
"797",2016-03-07,"lunes","Laboral"
"798",2016-03-08,"martes","Laboral"
"799",2016-03-09,"miércoles","Laboral"
"800",2016-03-10,"jueves","Laboral"
"801",2016-03-11,"viernes","Laboral"
"802",2016-03-12,"sábado","Fin de semana"
"803",2016-03-13,"domingo","Fin de semana"
"804",2016-03-14,"lunes","Laboral"
"805",2016-03-15,"martes","Laboral"
"806",2016-03-16,"miércoles","Laboral"
"807",2016-03-17,"jueves","Laboral"
"808",2016-03-18,"viernes","Laboral"
"809",2016-03-19,"sábado","Fin de semana"
"810",2016-03-20,"domingo","Fin de semana"
"811",2016-03-21,"lunes","Festivo"
"812",2016-03-22,"martes","Laboral"
"813",2016-03-23,"miércoles","Laboral"
"814",2016-03-24,"jueves","Festivo"
"815",2016-03-25,"viernes","Festivo"
"816",2016-03-26,"sábado","Fin de semana"
"817",2016-03-27,"domingo","Fin de semana"
"818",2016-03-28,"lunes","Laboral"
"819",2016-03-29,"martes","Laboral"
"820",2016-03-30,"miércoles","Laboral"
"821",2016-03-31,"jueves","Laboral"
"822",2016-04-01,"viernes","Laboral"
"823",2016-04-02,"sábado","Fin de semana"
"824",2016-04-03,"domingo","Fin de semana"
"825",2016-04-04,"lunes","Laboral"
"826",2016-04-05,"martes","Laboral"
"827",2016-04-06,"miércoles","Laboral"
"828",2016-04-07,"jueves","Laboral"
"829",2016-04-08,"viernes","Laboral"
"830",2016-04-09,"sábado","Fin de semana"
"831",2016-04-10,"domingo","Fin de semana"
"832",2016-04-11,"lunes","Laboral"
"833",2016-04-12,"martes","Laboral"
"834",2016-04-13,"miércoles","Laboral"
"835",2016-04-14,"jueves","Laboral"
"836",2016-04-15,"viernes","Laboral"
"837",2016-04-16,"sábado","Fin de semana"
"838",2016-04-17,"domingo","Fin de semana"
"839",2016-04-18,"lunes","Laboral"
"840",2016-04-19,"martes","Laboral"
"841",2016-04-20,"miércoles","Laboral"
"842",2016-04-21,"jueves","Laboral"
"843",2016-04-22,"viernes","Laboral"
"844",2016-04-23,"sábado","Fin de semana"
"845",2016-04-24,"domingo","Fin de semana"
"846",2016-04-25,"lunes","Laboral"
"847",2016-04-26,"martes","Laboral"
"848",2016-04-27,"miércoles","Laboral"
"849",2016-04-28,"jueves","Laboral"
"850",2016-04-29,"viernes","Laboral"
"851",2016-04-30,"sábado","Fin de semana"
"852",2016-05-01,"domingo","Fin de semana"
"853",2016-05-02,"lunes","Laboral"
"854",2016-05-03,"martes","Laboral"
"855",2016-05-04,"miércoles","Laboral"
"856",2016-05-05,"jueves","Laboral"
"857",2016-05-06,"viernes","Laboral"
"858",2016-05-07,"sábado","Fin de semana"
"859",2016-05-08,"domingo","Fin de semana"
"860",2016-05-09,"lunes","Festivo"
"861",2016-05-10,"martes","Laboral"
"862",2016-05-11,"miércoles","Laboral"
"863",2016-05-12,"jueves","Laboral"
"864",2016-05-13,"viernes","Laboral"
"865",2016-05-14,"sábado","Fin de semana"
"866",2016-05-15,"domingo","Fin de semana"
"867",2016-05-16,"lunes","Laboral"
"868",2016-05-17,"martes","Laboral"
"869",2016-05-18,"miércoles","Laboral"
"870",2016-05-19,"jueves","Laboral"
"871",2016-05-20,"viernes","Laboral"
"872",2016-05-21,"sábado","Fin de semana"
"873",2016-05-22,"domingo","Fin de semana"
"874",2016-05-23,"lunes","Laboral"
"875",2016-05-24,"martes","Laboral"
